date,title,country,mandatory
June 17 2024,Bakrid/Eid ul-Adha,IN,0
July 07 2024,Rath Yatra,IN,0
July 17 2024,Muharram/Ashura,IN,0
July 21 2024,Guru Purnima,IN,0
August 15 2024,Independence Day/Parsi New Year,IN,1
August 19 2024,Raksha Bandhan (Rakhi),IN,0
August 26 2024,Janmashtami,IN,0
September 07 2024,Ganesh Chaturthi/Vinayaka Chaturthi,IN,0
September 15 2024,Onam,IN,0
September 16 2024,Milad un-Nabi/Id-e-Milad,IN,0
October 02 2024,Mahatma Gandhi Jayanti,IN,1
October 11 2024,Maha Ashtami/Maha Navami,IN,0
October 12 2024,Dussehra,IN,0
October 17 2024,Maharishi Valmiki Jayanti,IN,0
October 20 2024,Karaka Chaturthi (Karva Chauth),IN,0
October 31 2024,Naraka Chaturdasi/Deepavali,IN,0
November 02 2024,Govardhan Puja,IN,0
November 03 2024,Bhai Duj,IN,0
November 07 2024,Chhat Puja (Pratihar Sashthi/Surya Sashthi),IN,0
November 15 2024,Guru Nanak Jayanti,IN,0
November 24 2024,Guru Tegh Bahadur's Martyrdom Day,IN,0
December 24 2024,Christmas Eve,IN,0
December 25 2024,Christmas,IN,0
December 31 2024,New Year's Eve,IN,0
